,Category,Workplace,Location,Department,Type
80,Business Analyst,On-site,"Cambridge, England, United Kingdom",Change+,
81,Business Analyst,Remote,"Cherry Hill, New Jersey, United States",,Contract
82,Business Analyst,On-site,"Orlando, Florida, United States",Information Technology,Full time
83,Business Analyst,Hybrid,"Athens, Greece",Information Technology,Full time
84,Business Analyst,On-site,"Dublin, County Dublin, Ireland",Information Systems,Full time
85,Business Analyst,On-site,"Overland Park, Kansas, United States",Consulting,Contract
86,Business Analyst,Hybrid,"Cary, North Carolina, United States",1 - Operations,Full time
87,Business Analyst,On-site,"Warrington, England, United Kingdom",Data+,Full time
88,Business Analyst,Remote,France,Marketing,Full time
89,Business Analyst,On-site,"Douala, Littoral, Cameroon",,Full time
90,Business Analyst,Remote,"Cherry Hill, New Jersey, United States",,Contract
91,Business Analyst,Remote,Jordan,,
92,Business Analyst,On-site,"Lagos, Lagos, Nigeria",Information Technology,Full time
93,Business Analyst,On-site,"Amman, Amman Governorate, Jordan","Sales, OLX Oman Jordan",Full time
94,Business Analyst,On-site,"Cebu City, Central Visayas, Philippines",,Full time
95,Business Analyst,Remote,"London, England, United Kingdom",Analytics,Full time
96,Business Analyst,Hybrid,"London, England, United Kingdom",Finance,Full time
97,Business Analyst,Remote,"Belle Isle, Florida, United States",,Full time
98,Business Analyst,Remote,United States,Computer/Software,Full time
99,Business Analyst,On-site,"Belgrade, Vojvodina, Serbia",IMPLEMENTATIONS & DELIVERY,Full time
100,Business Analyst,Hybrid,"Auckland, Auckland, New Zealand",Insights,Full time
101,Business Analyst,On-site,"Riyadh, Riyadh Province, Saudi Arabia",Commercial,Contract
102,Business Analyst,On-site,"London, England, United Kingdom",Private Credit,Full time
103,Business Analyst,On-site,"UK, United Kingdom, United Kingdom",Data+,
104,Business Analyst,Hybrid,"Melbourne, Victoria, Australia",Platform Product,Full time
105,Business Analyst,On-site,"Bengaluru, Karnataka, India",,Full time
106,Business Analyst,On-site,"Leeds, England, United Kingdom",Research Analysts,Contract
107,Business Analyst,On-site,"Sydney, New South Wales, Australia",IT,Contract
108,Business Analyst,On-site,"Chalcis, Central Greece, Greece",Αθήνα,Other
109,Business Analyst,Remote,"Arlington, Virginia, United States",Digital Services,Full time
110,Business Analyst,,,,
111,Business Analyst,On-site,"Jeddah, Makkah Province, Saudi Arabia",Data and Analytics,Full time
112,Business Analyst,Hybrid,"Manchester, England, United Kingdom",Development and Technical,Full time
113,Business Analyst,,"Kuwait City, Al Asimah Governate, Kuwait",Agility Logistics Parks,Full time
114,Business Analyst,Hybrid,"London, England, United Kingdom",Finance,Full time
115,Business Analyst,Remote,"Delhi, India",,
116,Business Analyst,Hybrid,"Toronto, Ontario, Canada",Business Management,Full time
117,Business Analyst,Remote,"Cairo, Cairo Governorate, Egypt",59,
118,Business Analyst,On-site,"North West, England, United Kingdom",Change+,
119,Business Analyst,On-site,"Lagos, Lagos, Nigeria",DCP - Operations,Full time
120,Business Analyst,On-site,"Calgary, Alberta, Canada",,Full time
121,Business Analyst,On-site,"New York, New York, United States",Corporate,Full time
122,Business Analyst,Hybrid,"San Antonio, Texas, United States",,Full time
123,Business Analyst,On-site,"London, England, United Kingdom",Private Credit,Full time
124,Business Analyst,Remote,Philippines,,
125,Business Analyst,On-site,"Bengaluru, Karnataka, India",,Full time
126,Business Analyst,On-site,"Calgary, Alberta, Canada",Analysis,Full time
127,Business Analyst,On-site,"London, England, United Kingdom",Research Analysts,Contract
128,Business Analyst,On-site,"Fort Worth, Texas, United States",Analytics,Full time
129,Business Analyst,On-site,"Lagos, Lagos, Nigeria",CX Operations,Full time
130,Business Analyst,Remote,"Lagos, Lagos, Nigeria",Data Science,Full time
131,Business Analyst,On-site,"Obajana, Kogi, Nigeria",Risk Management,Full time
132,Business Analyst,Remote,"Boston, Massachusetts, United States",Science & Knowledge,
133,Business Analyst,On-site,"Makati, Metro Manila, Philippines",Operations,Full time
134,Business Analyst,Remote,Philippines,,
135,Business Analyst,Hybrid,"London, England, United Kingdom",Customer Experience,Full time
136,Business Analyst,On-site,"Anfa-Casablanca, Casablanca-Settat, Morocco",Research,Full time
137,Business Analyst,Hybrid,"Athens, Attica, Greece",Finance,Full time
138,Business Analyst,Hybrid,"London, England, United Kingdom",,Full time
139,Business Analyst,Remote,"Sacramento, California, United States",Finance,Full time
140,Business Analyst,Hybrid,"Montreal, Quebec, Canada",Structured Content,
141,Business Analyst,Hybrid,"Milan, Metropolitan City of Milan, Italy",Strategy & BI,Full time
142,Business Analyst,Hybrid,"Sofia, Sofia City Province, Bulgaria",,Full time
143,Business Analyst,Remote,United States,,Contract
144,Business Analyst,On-site,"Al-Dajeej, Al Farwaniyah Governorate, Kuwait",PWC Technologies,Full time
145,Business Analyst,Hybrid,"Golden, Colorado, United States",Asset Management,Full time
146,Business Analyst,On-site,"Dubai, Dubai, United Arab Emirates",Strategy,
